GBM,LR,SVM
0.014793543215296249,0.018855226578943826,0.03260823828076702
0.031367053699814414,0.05803602390968303,0.12770655924492005
0.6983325611990373,0.5692446472508241,0.47611695479399135
0.16400200758152753,0.10071293211500933,0.14797750935959905
0.041155388297121565,0.02733740031359619,0.05867567953745312
0.039010491948302764,0.10333443194187146,0.12973392850239576
0.09979198142941702,0.08058248477739798,0.14302511858417963
0.15895354778698778,0.3249856016271073,0.3002447070632985
0.3161695629115541,0.2193417246064249,0.21869464194570393
0.021035260003472306,0.04780027916428563,0.05224245200449599
0.01527476353853294,0.05160202089123815,0.08801618468688463
0.014871301257555635,0.043291124023895095,0.08249158163742927
0.004715585253046028,0.011436787222001948,0.017558712741707293
0.13327490862198238,0.19214263386902636,0.19441300000755107
0.06529762999219645,0.027155659613009215,0.05283852848524001
0.053706660883584105,0.055720500594361275,0.11219035053251056
0.035105098486103464,0.04500552596883956,0.07920715145954846
0.05336662941871072,0.05534680553335139,0.0958364458966914
0.025282053591299893,0.030978247899243465,0.050525284689665106
0.1414014526606178,0.05920152760777608,0.143829157519818
0.14882901514422955,0.2291470055709614,0.21995779724629272
0.2809518407628831,0.3784388628549476,0.2618184825920763
0.16731600084091233,0.14871751114316714,0.1679848207160483
0.21019858797507834,0.11679498115820809,0.18536155824732153
0.012150268363248883,0.01486130617317659,0.06623601441677271
0.024702513144585794,0.011752604940120894,0.07780232703137886
0.03821042731440248,0.0677977347633012,0.12391130557952404
0.15123095958192806,0.12305767349650801,0.12395406714692676
0.34350085955198206,0.0904614328383737,0.1923855200934442
0.014669217143561623,0.035580935996152876,0.08661125158533582
0.553130661932358,0.5199768959107881,0.5677461763955709
0.010966202330294597,0.022037614131495065,0.073493601693634
0.0907988245998044,0.050925507185453064,0.09190505190141175
0.042279131533663736,0.056461094754272634,0.07433084049940727
0.08680168944171134,0.07212501002346783,0.08361747350337158
0.3424744557355554,0.3109976806858154,0.3421414132902091
0.3507065164932024,0.29657400833785164,0.23147762044123774
0.036319262846471766,0.018182117133392357,0.07972990745367552
0.06057974218529332,0.12382988256634528,0.1458982731930138
0.49976119380212863,0.3664392654714155,0.33026398355815395
0.11507003560142604,0.10670933061278241,0.128081379955075
0.5324443782925646,0.3098206250685317,0.364067097451673
0.4734314848621832,0.4752344363064319,0.4987022834034235
0.40907154399879575,0.4688746148075344,0.2588723200415749
0.10745928561019355,0.3710184587550612,0.3152217179847472
0.043013110643242335,0.03166304819227376,0.03744072352877966
0.011805861361469215,0.03126915144806887,0.04476326629253759
0.39594379624650405,0.360243539561124,0.27441540331134906
0.1386059833191674,0.1921620786738468,0.2164873859490249
0.2488009694477177,0.27783298085372066,0.33264677030667406
0.13640197601663254,0.09126655447727834,0.13639793674779743
0.1226860691644837,0.15353691905646272,0.15095013829217646
0.03851995289629048,0.051952207172697225,0.1125530251585158
0.23614187787089316,0.5268484662182984,0.3978077569735103
0.023061536822734662,0.024909107840951017,0.07291445809469886
0.019816250724491342,0.026998236545606475,0.05002884989545252
0.030775161709176168,0.04337555144995314,0.09375763718646883
0.0211471086706964,0.02626018883858597,0.0747994367598133
0.19014899127844834,0.22034095438149542,0.3893929079134818
0.3182221485051093,0.09816977840900246,0.16987827037277764
0.23879647935545267,0.4493534393254201,0.3527890450380375
0.3525498235457523,0.24559568304346063,0.20192664648619071
0.18209586184108262,0.20115897891962325,0.17641015151957187
0.3512297530128687,0.25828574112338987,0.20826648478633478
0.10361846346996259,0.1077369005666516,0.17319335301350167
0.07467069216165595,0.048414765098612984,0.07496228640395293
0.35662697277470495,0.4810301887235915,0.38413107390730183
0.019230517860756764,0.014378081986231554,0.01909458437263263
0.0884630811926844,0.19742719440160247,0.19465113960725586
0.26210061834641796,0.2976320523753104,0.26402005894146957
0.11948363330581882,0.18567115131353942,0.1830549453556017
0.46670098232446783,0.21904916606015812,0.19182393503059253
0.13571450699724955,0.13799902344575943,0.19092855248269344
0.03235266398801088,0.04463241378323214,0.10494040217430516
0.1326325291584358,0.04919587718693818,0.10986499139475012
0.3563828788790438,0.21178969200971723,0.26505095490775493
0.42203469918840925,0.5581213107439263,0.4375024458256648
0.10174328224582432,0.32183131663185094,0.24462688382151168
0.3170823962264725,0.39551350638800203,0.28000605371390347
0.03256352558167394,0.015882884386275227,0.07300334939342598
0.36071713254049126,0.5101746129716986,0.46088550672295064
0.08433916432984244,0.10436298840388587,0.12780422888459636
0.031379171988359995,0.0901553787228709,0.1285926459016062
0.01641147546637626,0.010007524512861648,0.021825590152606923
0.13423905611367326,0.12959200451214123,0.19521185959859733
0.18421472146302664,0.20420542932161645,0.1957505745034972
0.7563982808008607,0.5832954250636492,0.4952604004594187
0.023877081225506094,0.04436249989932006,0.12270247041802658
0.04886333675974331,0.044541211445648085,0.0767498274197506
0.07803512354338797,0.07853591560492086,0.11312626541455355
0.05451336170727357,0.11112721705031973,0.11768929184112105
0.009622322198434336,0.008528538908227168,0.016744973320724825
0.3933452149362883,0.4999868688366869,0.4268350216472013
0.03794026850449651,0.02407877670745073,0.08909859646277912
0.43077178614832995,0.5469878828641326,0.35693781481587716
0.20177775672488338,0.2202074654896622,0.17432575620369856
0.2227549976648414,0.27172470492759027,0.23188107483803694
0.3833438497920956,0.347071580714147,0.3908289718299608
0.15869862851020622,0.2456786238833772,0.2337218440426882
0.0346585409853365,0.24563555094481818,0.29342342776038016
0.009423536992679981,0.016365936440256655,0.0677443836518296
0.014199271729325384,0.009072855707845063,0.062403613947503725
0.1135116258553714,0.07901291130821841,0.13149065023251466
0.01461788242923806,0.01153511625281856,0.031359291118749154
0.3013018292715049,0.46842911205409,0.305329940531057
0.2779909178791623,0.1561235355642865,0.16868427542389824
0.038323444908508954,0.035617347015950665,0.04792777965768793
0.10978217160258164,0.1089129498426516,0.17535683902250762
0.020345178776420836,0.0479345282629134,0.06589727372043945
0.3407538561420872,0.23508913545018426,0.25763984465475337
